date,city,station_id,temp_c,rainfall_mm
2020-01-01,Auckland,A64711,19.6,49.9
2020-01-01,Wellington,B93451,18.0,86.4
2020-01-01,Christchurch,C75731,16.0,20.8
2020-01-01,Hamilton,D87641,18.9,60.6
2020-01-01,Dunedin,E91961,15.6,65.0
2020-02-01,Auckland,A64711,19.6,81.9
2020-02-01,Wellington,B93451,16.9,93.4
2020-02-01,Christchurch,C75731,17.2,32.2
2020-02-01,Hamilton,D87641,18.5,54.7
2020-02-01,Dunedin,E91961,15.7,75.7
2020-03-01,Auckland,A64711,17.3,73.0
2020-03-01,Wellington,B93451,16.3,85.5
2020-03-01,Christchurch,C75731,14.5,46.2
2020-03-01,Hamilton,D87641,16.8,84.8
2020-03-01,Dunedin,E91961,13.7,79.2
2020-04-01,Auckland,A64711,17.1,94.7
2020-04-01,Wellington,B93451,12.8,91.1
2020-04-01,Christchurch,C75731,12.6,74.9
2020-04-01,Hamilton,D87641,13.9,80.7
2020-04-01,Dunedin,E91961,10.4,77.4
2020-05-01,Auckland,A64711,14.0,126.6
2020-05-01,Wellington,B93451,10.6,
2020-05-01,Christchurch,C75731,9.4,65.9
2020-05-01,Hamilton,D87641,12.3,110.7
2020-05-01,Dunedin,E91961,9.4,63.6
2020-06-01,Auckland,A64711,,140.9
2020-06-01,Wellington,B93451,8.4,125.4
2020-06-01,Christchurch,C75731,7.0,54.8
2020-06-01,Hamilton,D87641,9.6,140.0
2020-06-01,Dunedin,E91961,6.5,73.4
2020-07-01,Auckland,A64711,10.1,131.1
2020-07-01,Wellington,B93451,9.1,143.1
2020-07-01,Christchurch,C75731,7.2,74.6
2020-07-01,Hamilton,D87641,8.9,114.4
2020-07-01,Dunedin,E91961,7.3,54.6
2020-08-01,Auckland,A64711,10.9,114.4
2020-08-01,Wellington,B93451,8.8,137.6
2020-08-01,Christchurch,C75731,7.5,68.3
2020-08-01,Hamilton,D87641,9.5,120.0
2020-08-01,Dunedin,E91961,7.7,54.2
2020-09-01,Auckland,A64711,13.8,108.6
2020-09-01,Wellington,B93451,10.8,113.1
2020-09-01,Christchurch,C75731,8.4,58.8
2020-09-01,Hamilton,D87641,11.2,107.5
2020-09-01,Dunedin,E91961,9.2,69.3
2020-10-01,Auckland,A64711,15.9,99.4
2020-10-01,Wellington,B93451,12.9,102.1
2020-10-01,Christchurch,C75731,10.8,23.4
2020-10-01,Hamilton,D87641,12.9,78.4
2020-10-01,Dunedin,E91961,11.4,54.1
2020-11-01,Auckland,A64711,17.1,102.7
2020-11-01,Wellington,B93451,15.0,98.9
2020-11-01,Christchurch,C75731,14.1,37.3
2020-11-01,Hamilton,D87641,15.6,74.2
2020-11-01,Dunedin,E91961,14.0,46.8
2020-12-01,Auckland,A64711,19.2,73.8
2020-12-01,Wellington,B93451,16.4,54.8
2020-12-01,Christchurch,C75731,16.9,30.7
2020-12-01,Hamilton,D87641,18.3,69.4
2020-12-01,Dunedin,E91961,16.3,72.9
2021-01-01,Auckland,A64711,18.6,68.2
2021-01-01,Wellington,B93451,17.6,92.7
2021-01-01,Christchurch,C75731,18.3,45.7
2021-01-01,Hamilton,D87641,20.0,47.5
2021-01-01,Dunedin,E91961,15.1,63.9
2021-02-01,Auckland,A64711,18.6,49.6
2021-02-01,Wellington,B93451,17.3,
2021-02-01,Christchurch,C75731,15.7,29.8
2021-02-01,Hamilton,D87641,18.4,81.7
2021-02-01,Dunedin,E91961,16.6,120.2
2021-03-01,Auckland,A64711,,68.3
2021-03-01,Wellington,B93451,13.6,91.8
2021-03-01,Christchurch,C75731,14.2,45.3
2021-03-01,Hamilton,D87641,15.9,77.2
2021-03-01,Dunedin,E91961,14.2,75.1
2021-04-01,Auckland,A64711,15.3,85.3
2021-04-01,Wellington,B93451,11.9,96.0
2021-04-01,Christchurch,C75731,12.1,84.5
2021-04-01,Hamilton,D87641,14.1,108.1
2021-04-01,Dunedin,E91961,10.7,49.9
2021-05-01,Auckland,A64711,12.6,107.6
2021-05-01,Wellington,B93451,12.8,106.5
2021-05-01,Christchurch,C75731,10.0,49.1
2021-05-01,Hamilton,D87641,12.3,113.1
2021-05-01,Dunedin,E91961,8.7,62.0
2021-06-01,Auckland,A64711,11.4,138.1
2021-06-01,Wellington,B93451,9.2,111.8
2021-06-01,Christchurch,C75731,6.3,67.0
2021-06-01,Hamilton,D87641,11.1,120.0
2021-06-01,Dunedin,E91961,7.1,63.2
2021-07-01,Auckland,A64711,12.4,139.4
2021-07-01,Wellington,B93451,8.7,150.9
2021-07-01,Christchurch,C75731,6.9,85.7
2021-07-01,Hamilton,D87641,9.3,103.0
2021-07-01,Dunedin,E91961,5.5,82.3
2021-08-01,Auckland,A64711,13.3,128.7
2021-08-01,Wellington,B93451,9.3,152.1
2021-08-01,Christchurch,C75731,6.5,44.5
2021-08-01,Hamilton,D87641,10.4,111.7
2021-08-01,Dunedin,E91961,7.2,56.4
2021-09-01,Auckland,A64711,13.7,139.6
2021-09-01,Wellington,B93451,11.2,128.5
2021-09-01,Christchurch,C75731,7.7,50.8
2021-09-01,Hamilton,D87641,10.9,89.1
2021-09-01,Dunedin,E91961,8.1,57.6
2021-10-01,Auckland,A64711,16.1,80.9
2021-10-01,Wellington,B93451,13.2,96.1
2021-10-01,Christchurch,C75731,11.8,60.1
2021-10-01,Hamilton,D87641,14.4,113.4
2021-10-01,Dunedin,E91961,11.0,57.2
2021-11-01,Auckland,A64711,17.2,86.8
2021-11-01,Wellington,B93451,15.4,71.6
2021-11-01,Christchurch,C75731,14.9,43.8
2021-11-01,Hamilton,D87641,18.4,107.5
2021-11-01,Dunedin,E91961,12.7,68.4
2021-12-01,Auckland,A64711,17.7,61.4
2021-12-01,Wellington,B93451,17.1,94.6
2021-12-01,Christchurch,C75731,16.3,28.8
2021-12-01,Hamilton,D87641,16.4,66.6
2021-12-01,Dunedin,E91961,14.1,68.5
2022-01-01,Auckland,A64711,,64.1
2022-01-01,Wellington,B93451,16.0,50.3
2022-01-01,Christchurch,C75731,19.3,21.0
2022-01-01,Hamilton,D87641,17.9,92.9
2022-01-01,Dunedin,E91961,17.9,60.2
2022-02-01,Auckland,A64711,18.6,75.4
2022-02-01,Wellington,B93451,18.2,61.7
2022-02-01,Christchurch,C75731,16.7,56.7
2022-02-01,Hamilton,D87641,18.5,63.4
2022-02-01,Dunedin,E91961,14.9,55.8
2022-03-01,Auckland,A64711,17.2,79.2
2022-03-01,Wellington,B93451,15.5,79.5
2022-03-01,Christchurch,C75731,15.2,66.7
2022-03-01,Hamilton,D87641,16.5,84.6
2022-03-01,Dunedin,E91961,13.4,72.7
2022-04-01,Auckland,A64711,14.8,105.6
2022-04-01,Wellington,B93451,13.1,134.7
2022-04-01,Christchurch,C75731,13.4,63.7
2022-04-01,Hamilton,D87641,13.4,76.6
2022-04-01,Dunedin,E91961,12.1,71.6
2022-05-01,Auckland,A64711,13.8,92.3
2022-05-01,Wellington,B93451,11.8,125.6
2022-05-01,Christchurch,C75731,8.5,55.6
